(-20.09295449327722, 18.19131675418469)
(-14.22396820942889, 29.010050506338825)
(-1.1424927574777932, 39.263098833543765)
(-20.446507883870495, 18.544870144777967)
(-16.20386719675122, 27.030151519016496)
(0.13029944865799692, 41.2429978208661)
(-20.800061274463772, 18.898423535371244)
(-14.436100243784857, 29.505025253169407)
(-0.15254326381662153, 40.96015510839149)
(-21.096534273844554, 19.282927106813368)
(-16.50959273206727, 27.481704309516527)
(-0.4641413557650118, 40.663355444344354)
(-21.436457377531674, 19.676240994676427)
(-14.789653634378134, 29.85857864376268)
(-0.718228688765862, 40.394469683442246)
(-21.71930009000628, 20.100505063388354)
(-16.769552621700484, 27.878679656440372)
(-1.0010714012404875, 40.11162697096762)
(-21.931432124362267, 20.595479810218947)
(-15.143207024971396, 30.21213203435596)
(-1.283914113715106, 39.828784258493)
(-22.21427483683688, 21.019743878930882)
(-17.052395334175074, 28.302943725152268)
(-1.5667568261897102, 39.54594154601839)
(-22.497117549311504, 21.444007947642802)
(-15.426049737446021, 30.636396103067884)
(-0.2939646200539343, 41.52584053334072)
(-22.7799602617861, 21.868272016354744)
(-17.3352380466497, 28.72720779386421)
(-0.5768073325285599, 41.242997820866094)
(-22.921381618023418, 22.433957441303964)
(-15.708892449920633, 31.06066017177982)
(-0.8596500450031748, 40.960155108391476)
(-23.062802974260727, 22.999642866253218)
(-17.61808075912431, 29.151471862576127)
(-1.1424927574777968, 40.677312395916864)
(-23.274935008616694, 23.49461761308381)
(-16.06244584051391, 31.414213562373085)
(-1.4253354699524117, 40.39446968344224)
(-23.48706704297267, 23.989592359914365)
(-17.83021279348028, 29.646446609406723)
(-1.7081781824270337, 40.11162697096762)
(-23.55777772109132, 24.625988462982264)
(-16.415999231107186, 31.767766952966365)
(-1.9910208949016486, 39.82878425849301)
(-23.628488399209957, 25.262384566050166)
(-18.04234482783624, 30.141421356237302)
(-0.7182286887658655, 41.80868324581534)
(-23.699199077328622, 25.89878066911804)
(-16.557420587344495, 32.333452377915606)
(-1.001071401240484, 41.52584053334071)
(-23.769909755447287, 26.535176772185928)
(-18.32518754031087, 30.565685424949255)
(-1.2839141137151096, 41.24299782086611)
(-23.769909755447294, 27.2422835533725)
(-16.76955262170044, 32.82842712474618)
(-1.566756826189735, 40.96015510839148)
(-23.628488399209957, 28.090811690796357)
(-18.53731957466684, 31.060660171779833)
(-1.84959953866435, 40.67731239591686)
(-23.628488399209978, 28.797918471982925)
(-16.769552621700456, 33.535533905932716)
(-2.1324422511389614, 40.39446968344224)
(-23.557777721091327, 29.575735931288097)
(-18.749451609022778, 31.55563491861039)
(-2.4152849636135976, 40.11162697096762)
(-23.48706704297267, 30.35355339059329)
(-16.91097397793778, 34.10121933088198)
(-1.4253354699524117, 41.80868324581533)
(-23.345645686735367, 31.20208152801714)
(-18.96158364337876, 32.05060966544099)
(-1.7081781824270337, 41.525840533340705)
(-23.204224330498043, 32.05060966544099)
(-17.123106012293725, 34.596194077712546)
(-1.9910208949016521, 41.2429978208661)
(-22.992092296142097, 32.969848480983536)
(-19.10300499961607, 32.61629509039022)
(-2.2738636073762777, 40.960155108391476)
(-22.497117549311504, 34.17193000900066)
(-17.26452736853104, 35.16187950266179)
(-2.556706319850889, 40.67731239591686)
(-22.214274836836886, 35.16187950266183)
(-19.244426355853378, 33.181980515339454)
(-2.8395490323255004, 40.39446968344224)
(-21.790010768124937, 36.29325035256032)
(-17.3352380466497, 35.798275605729685)
(-3.12239174480014, 40.11162697096762)
(-21.365746699413023, 37.14177848998416)
(-19.385847712090687, 33.7476659402887)
(-1.9203102167829975, 42.020815280171306)
(-20.65863991822647, 38.131727983645334)
(-16.910973977937772, 36.929646455628166)
(-2.2031529292576195, 41.73797256769668)
(-19.951533137039917, 38.838834764831866)
(-19.527269068327996, 34.313351365237935)
(-2.4859956417322344, 41.455129855222054)
(-18.749451609022785, 19.53481963843912)
(-17.193816690412383, 37.35391052434008)
(-2.768838354206853, 41.17228714274745)
(-19.45655839020936, 20.241926419625663)
(-19.456558390209338, 35.09116882454313)
(-3.0516810666814678, 40.889444430272825)
(-19.103004999616054, 19.888373029032394)
(-17.61808075912431, 37.6367532368147)
(-3.334523779156086, 40.606601717798206)
(-19.456558390209345, 20.241926419625685)
(-19.456558390209338, 35.79827560572968)
(-3.6173664916307082, 40.32375900532358)
(-19.739401102683956, 20.66619048833759)
(-18.537319574666824, 37.424621202458745)
(-2.41528496361358, 42.232947314527266)
(-19.951533137039917, 21.161165235168184)
(-19.244426355853363, 36.7175144212722)
(-2.6981276760882054, 41.95010460205264)
(-20.234375849514528, 21.58542930388011)
(-5.667976157071671, 32.61629509039023)
(-2.9809703885628167, 41.66726188957803)
(-20.375797205751844, 22.151114728829334)
(-0.08183258569794916, 38.202438661763956)
(-3.2638131010374494, 41.384419177103396)
(-20.44650788387051, 22.787510831897244)
(-6.02152954766494, 32.96984848098349)
(-3.546655813512068, 41.10157646462879)
(-20.517218561989182, 23.423906934965125)
(-0.5060966544098768, 38.48528137423857)
(-3.8294985259866756, 40.81873375215417)
(-20.517218561989175, 24.13101371615168)
(-6.339727599198888, 33.35875721063609)
(-4.112341238461287, 40.535891039679555)
(-20.446507883870503, 24.908831175456882)
(-0.9303607231217974, 38.768124086713186)
(-4.3951839509359125, 40.25304832720492)
(-20.16366517139589, 25.474516600406115)
(-6.657925650732842, 33.747665940288705)
(-4.6780266634105345, 39.97020561473031)
(-19.774756441743293, 25.93413600817737)
(-1.354624791833725, 39.050966799187805)
(-2.698127676088202, 42.657211383239186)
(-19.31513703397202, 26.323044737829967)
(-1.8495995386643145, 39.26309883354378)
(-2.9809703885628345, 42.37436867076456)
(-16.199371113171615, 26.609687982587836)
(-6.978064801491694, 34.13944687457576)
(-3.275001921412276, 42.08649598909067)
(-16.55742058734451, 26.67659812842327)
(-2.2738636073762386, 39.54594154601838)
(-3.5466558135120607, 41.808683245815345)
(5.009336238845206, 43.29360748630712)
(-7.223611075682076, 34.59619407771257)
(-3.8294985259866756, 41.52584053334072)
(-17.830212793480264, 26.818019484660574)
(-2.768838354206828, 39.75807358037436)
(-4.112341238461298, 41.2429978208661)
(-18.2544768621922, 26.81801948466056)
(-7.506453788156687, 35.02045814642448)
(-4.3951839509359125, 40.96015510839148)
(-16.910973977937772, 26.74730880654191)
(-3.4052344572747124, 39.828784258493)
(-4.6780266634105345, 40.67731239591687)
(-17.405948724768344, 26.818019484660574)
(-7.577164466275342, 35.65685424949237)
(-4.960869375885146, 40.39446968344224)
(-15.708892449920633, 22.575378797541273)
(-4.041630560342604, 39.89949493661166)
(-5.2437120883597785, 40.11162697096761)
(-17.33523804664972, 20.949033200812206)
(-7.577164466275331, 36.36396103067891)
(-5.526554800834386, 39.82878425849301)
(-15.991735162395265, 22.29253608506664)
(-4.960869375885121, 39.82878425849301)
(-5.809397513309001, 39.54594154601839)
(-16.27457787486987, 22.00969337259204)
(-7.718585822512658, 37.071067811865476)
(-3.051681066681482, 43.01076477383246)
(-16.557420587344488, 21.726850660117414)
(-6.304372260139559, 39.33380951166242)
(-3.3345237791560933, 42.727922061357845)
(-16.840263299819107, 21.44400794764281)
(-6.799347006970148, 38.980256121069154)
(-3.6173664916307118, 42.445079348883226)
(-17.123106012293718, 21.16116523516819)
(-7.294321753800716, 38.343860018001244)
(-3.9002092041053444, 42.16223663640861)
(-16.415999231107172, 22.57537879754129)
(-6.940768363207457, 38.838834764831844)
(-4.183051916579952, 41.87939392393399)
(-18.04234482783624, 20.949033200812224)
(4.585072170133261, 43.57645019878171)
(-4.465894629054571, 41.59655121145937)
(-17.123106012293732, 22.575378797541283)
(4.160808101421356, 43.85929291125631)
(-4.7487373415291785, 41.31370849898475)
(-19.31513703397205, 20.383347775862973)
(3.7365440327094177, 44.14213562373094)
(-5.031580054003811, 41.03086578651013)
(-17.90092347159893, 22.50466811942265)
(3.3122799639974936, 44.42497833620556)
(-5.31442276647844, 40.748023074035515)
(-19.315137033972036, 21.090454557049526)
(2.8880158952855517, 44.70782104868019)
(-5.5972654789530445, 40.46518036156089)
(-20.022243815158568, 21.090454557049533)
(2.39304114845498, 44.91995308303615)
(-5.88010819142767, 40.18233764908628)
(-17.33523804664968, 23.777460325558422)
(1.9687770797430417, 45.202795795510774)
(-6.1629509039022885, 39.89949493661166)
(-16.415999231107158, 25.40380592228749)
(1.4738023329124736, 45.41492782986673)
(-6.445793616376903, 39.61665222413704)
(-19.59797974644664, 22.221825406948)
(0.9788275860818736, 45.6270598642227)
(-6.7286363288515325, 39.33380951166241)
(-16.557420587344488, 25.969491347236715)
(0.48385283925129485, 45.83919189857866)
(-7.01147904132613, 39.050966799187805)
(-19.385847712090687, 23.141064222490517)
(-0.011121907579308754, 46.051323932934636)
(-7.1529003975634495, 38.909545442950474)
(-17.193816690412383, 26.040202025355367)
(-0.5768073325285243, 46.192745289171924)
(-3.4052344572747444, 43.364318164425725)
(-19.24442635585337, 23.98959235991439)
(-1.0717820793590995, 46.40487732352789)
(-3.68807716974937, 43.0814754519511)
(-17.83021279348028, 26.110912703474018)
(-1.6374675043083649, 46.54629867976522)
(-3.9709198822239884, 42.7986327394765)
(-18.890872965260094, 25.05025253169419)
(-2.203152929257598, 46.68772003600253)
(-4.25376259469861, 42.51579002700189)
(-18.53731957466684, 26.110912703473993)
(-2.768838354206828, 46.82914139223983)
(-4.536605307173236, 42.23294731452726)
(-16.69884194358179, 22.29253608506666)
(-3.3345237791560542, 46.97056274847712)
(-4.819448019647847, 41.95010460205265)
(-16.981684656056437, 22.009693372592036)
(-3.970919882223953, 47.04127342659578)
(-5.102290732122455, 41.667261889578015)
(-17.26452736853104, 21.72685066011742)
(-4.6073159852918515, 47.11198410471445)
(-5.385133444597081, 41.38441917710341)
(-17.547370081005653, 21.44400794764281)
(-5.314422766478401, 47.11198410471445)
(-5.6679761570716956, 41.101576464628785)
(-17.830212793480293, 21.161165235168177)
(-6.092240225783595, 47.04127342659579)
(-5.950818869546303, 40.818733752154166)
(-18.183766184073555, 22.221825406947993)
(-6.870057685088799, 46.970562748477136)
(-6.23366158202094, 40.53589103967954)
(-18.466608896548166, 21.938982694473395)
(-7.647875144393996, 46.75843071412117)
(-6.516504294495558, 40.25304832720494)
(-18.749451609022785, 21.65613998199879)
(-8.425692603699204, 46.4048773235279)
(-6.79934700697018, 39.97020561473031)
(-19.03229432149741, 21.373297269524137)
(-9.910616844190958, 45.34421715174808)
(-7.082189719444791, 39.6873629022557)
(-17.405948724768344, 22.292536085066665)
(-7.930717856868636, 46.61700935788388)
(-7.36503243191941, 39.40452018978108)
(-17.688791437242955, 22.009693372592075)
(-9.3449314192417, 45.909902576697306)
(-7.577164466275391, 39.19238815542511)
(-17.9716341497176, 21.726850660117414)
(3.17085860776017, 41.45512985522207)
(-3.9002092041053267, 43.5764501987817)
(-18.254476862192192, 21.444007947642817)
(2.7465945390482567, 41.737972567696666)
(-4.183051916579956, 43.29360748630709)
(-18.537319574666824, 21.161165235168184)
(2.322330470336322, 42.0208152801713)
(-4.465894629054567, 43.01076477383246)
(-18.82016228714143, 20.8783225226936)
(1.8980664016243836, 42.303657992645924)
(-4.748737341529193, 42.72792206135786)
(-19.103004999616054, 20.59547981021896)
(1.4738023329124559, 42.58650070512054)
(-5.031580054003815, 42.44507934888322)
(-17.618080759124304, 23.494617613083776)
(1.0495382642005389, 42.869343417595154)
(-5.314422766478415, 42.162236636408615)
(-17.90092347159893, 23.211774900609175)
(2.2516197922176637, 40.53589103967955)
(-5.597265478953048, 41.87939392393399)
(-18.18376618407354, 22.92893218813458)
(1.8627110625650793, 40.85408909121349)
(-5.880108191427674, 41.59655121145937)
(-18.466608896548152, 22.64608947565995)
(1.4738023329124523, 41.17228714274745)
(-6.162950903902281, 41.313708498984745)
(-18.749451609022806, 22.363246763185312)
(1.0141829251412133, 41.41977451616273)
(-6.445793616376889, 41.03086578651014)
(-19.03229432149741, 22.080404050710694)
(0.6394163311123293, 41.752114703320416)
(-6.728636328851522, 40.7480230740355)
(-19.31513703397202, 21.7975613382361)
(0.271720804895331, 42.09152595828995)
(-7.011479041326144, 40.4651803615609)
(-19.59797974644666, 21.514718625761454)
(-0.22325394193526193, 42.303657992645924)
(-7.294321753800762, 40.182337649086264)
(-19.810111780802593, 21.3025865914055)
(-0.6475180106471683, 42.58650070512053)
(-7.577164466275363, 39.89949493661166)
(-16.69884194358179, 25.12096320981283)
(-1.1424927574777506, 42.79863273947649)
(-7.860007178750006, 39.61665222413703)
(-16.981684656056423, 24.838120497338238)
(-1.566756826189696, 43.08147545195112)
(-8.001428534987298, 39.47523086789973)
(-17.26452736853105, 24.555277784863616)
(-2.0617315730202925, 43.2936074863071)
(-4.324473272817254, 43.85929291125633)
(-17.54737008100568, 24.272435072388983)
(1.2616702985565027, 39.54594154601838)
(-4.607315985291873, 43.57645019878171)
(-17.83021279348025, 23.98959235991439)
(0.9788275860818842, 39.263098833543765)
(-4.890158697766495, 43.29360748630709)
(-18.113055505954897, 23.706749647439747)
(0.6959848736072551, 38.98025612106916)
(-5.17300141024112, 43.01076477383247)
(-18.395898218429522, 23.423906934965125)
(0.41314216113265445, 38.697413408594514)
(-5.455844122715725, 42.72792206135785)
(-18.678740930904134, 23.14106422249053)
(0.1302994486580289, 38.41457069611991)
(-5.738686835190357, 42.445079348883226)
(-18.96158364337876, 22.858221510015895)
(1.0495382642005247, 40.040916292848976)
(-6.021529547664972, 42.16223663640862)
(-19.24442635585337, 22.575378797541298)
(0.7666955517259169, 39.758073580374344)
(-6.3043722601395835, 41.879393923933996)
(-19.456558390209338, 22.363246763185344)
(0.48385283925131617, 39.475230867899704)
(-6.587214972614216, 41.59655121145938)
(-16.55742058734448, 25.96949134723671)
(0.20101012677667285, 39.19238815542512)
(-6.870057685088831, 41.31370849898475)
(-16.840263299819107, 25.686648634762093)
(-0.0818325856979385, 38.90954544295049)
(-7.1529003975634495, 41.030865786510134)
(-17.123106012293725, 25.403805922287482)
(-0.36467529817255695, 38.62670273047587)
(-7.435743110038082, 40.748023074035515)
(-17.40594872476833, 25.120963209812885)
(0.8374062298445715, 40.53589103967955)
(-7.71858582251269, 40.4651803615609)
(-17.68879143724297, 24.838120497338235)
(0.5545635173699495, 40.25304832720492)
(-8.00142853498729, 40.18233764908628)
(-17.971634149717595, 24.55527778486362)
(0.2717208048953239, 39.97020561473032)
(-8.284271247461916, 39.89949493661165)
(-18.254476862192206, 24.272435072388998)
(-0.011121907579298096, 39.6873629022557)
(-8.42569260369924, 39.75807358037435)
(-18.537319574666824, 23.989592359914376)
(-0.29396462005391655, 39.40452018978108)
(-5.102290732122462, 43.78858223313767)
(-18.82016228714145, 23.706749647439736)
(-0.5768073325285421, 39.12167747730648)
(-5.385133444597091, 43.505739520663056)
(-19.103004999616033, 23.423906934965174)
(-0.8596500450031535, 38.838834764831844)
(-5.667976157071699, 43.22289680818842)
(-17.476659402886987, 25.757359312880766)
(0.5545635173699566, 40.960155108391476)
(-5.950818869546335, 42.9400540957138)
(-17.759502115361634, 25.474516600406126)
(0.271720804895331, 40.67731239591686)
(-6.233661582020943, 42.65721138323919)
(-18.042344827836246, 25.191673887931493)
(-0.011121907579287438, 40.39446968344224)
(-6.516504294495572, 42.37436867076457)
(-18.325187540310857, 24.908831175456896)
(-0.29396462005391655, 40.11162697096763)
(-6.799347006970194, 42.09152595828996)
(-18.608030252785497, 24.62598846298227)
(-0.576807332528535, 39.82878425849301)
(-7.082189719444809, 41.80868324581533)
(-18.89087296526008, 24.34314575050767)
(-0.8596500450031499, 39.54594154601839)
(-7.365032431919431, 41.52584053334071)
(-18.113055505954897, 25.82806999099939)
(-3.6880771697493415, 31.060660171779823)
(-7.647875144394039, 41.242997820866094)
(-18.395898218429508, 25.5452272785248)
(1.4738023329124736, 35.51543289325505)
(-7.930717856868657, 40.960155108391476)
(-18.67874093090412, 25.262384566050176)
(-3.2638131010373925, 30.777817459305183)
(-8.213560569343276, 40.67731239591686)
(-18.678740930904127, 26.676598128423265)
(1.544513011031107, 34.87903679018718)
(-8.49640328181789, 40.394469683442246)
(-12.102647865869244, 29.71715728752542)
(-2.6274169979695117, 30.70710678118654)
(-8.779245994292506, 40.11162697096762)
(-11.819805153394643, 30.00000000000003)
(1.6152236891497758, 34.24264068711928)
(-8.991378028648477, 39.89949493661166)
(-11.536962440919996, 30.282842712474665)
(-1.9203102167829726, 30.70710678118655)
(-6.021529547664972, 43.576450198781714)
(-11.254119728445378, 30.565685424949276)
(1.544513011031114, 33.32340187157677)
(-6.304372260139598, 43.29360748630709)
(-11.53696244092, 30.28284271247465)
(-1.2132034355964194, 30.565685424949233)
(-6.58721497261422, 43.01076477383246)
(-11.96122650963192, 26.32304473782998)
(1.0495382642005389, 31.979898987322326)
(-6.870057685088838, 42.727922061357845)
(-14.011836175072915, 24.272435072389012)
(0.6959848736072622, 31.484924240491743)
(-7.1529003975634495, 42.44507934888324)
(-12.314779900225204, 26.676598128423265)
(0.05958877053936362, 30.989949493661168)
(-7.435743110038068, 42.16223663640861)
(-14.365389565666185, 24.625988462982264)
(0.5545635173699495, 31.34350288425443)
(-7.718585822512701, 41.87939392393399)
