(-40.09295449327722, -11.808683245815308)
(-34.22396820942889, -0.9899494936611762)
(-21.142492757477793, 9.263098833543765)
(-40.446507883870495, -11.455129855222035)
(-36.20386719675122, -2.9698484809835053)
(-19.869700551342003, 11.242997820866103)
(-40.80006127446377, -11.101576464628755)
(-34.43610024378486, -0.4949747468305932)
(-20.15254326381662, 10.960155108391486)
(-41.096534273844554, -10.717072893186634)
(-36.50959273206727, -2.518295690483473)
(-20.464141355765012, 10.663355444344353)
(-41.436457377531674, -10.323759005323572)
(-34.78965363437813, -0.14142135623731944)
(-20.718228688765862, 10.394469683442244)
(-41.71930009000628, -9.899494936611648)
(-36.769552621700484, -2.1213203435596286)
(-21.001071401240488, 10.11162697096762)
(-41.93143212436227, -9.404520189781051)
(-35.143207024971396, 0.21213203435596145)
(-21.283914113715106, 9.828784258493002)
(-42.21427483683688, -8.98025612106912)
(-37.052395334175074, -1.6970562748477338)
(-21.56675682618971, 9.545941546018392)
(-42.497117549311504, -8.5559920523572)
(-35.42604973744602, 0.6363961030678827)
(-20.293964620053934, 11.525840533340721)
(-42.7799602617861, -8.131727983645257)
(-37.3352380466497, -1.272792206135792)
(-20.57680733252856, 11.242997820866098)
(-42.92138161802342, -7.566042558696036)
(-35.70889244992063, 1.0606601717798183)
(-20.859650045003175, 10.960155108391474)
(-43.06280297426073, -7.000357133746781)
(-37.61808075912431, -0.8485281374238735)
(-21.142492757477797, 10.677312395916863)
(-43.274935008616694, -6.50538238691619)
(-36.06244584051391, 1.4142135623730834)
(-21.42533546995241, 10.394469683442242)
(-43.48706704297267, -6.010407640085634)
(-37.83021279348028, -0.35355339059327684)
(-21.708178182427034, 10.11162697096762)
(-43.55777772109132, -5.374011537017738)
(-36.415999231107186, 1.7677669529663658)
(-21.99102089490165, 9.828784258493007)
(-43.62848839920996, -4.737615433949832)
(-38.04234482783624, 0.14142135623730115)
(-20.718228688765866, 11.80868324581534)
(-43.69919907732862, -4.101219330881959)
(-36.557420587344495, 2.3334523779156084)
(-21.001071401240484, 11.525840533340716)
(-43.76990975544729, -3.464823227814074)
(-38.32518754031087, 0.5656854249492532)
(-21.28391411371511, 11.242997820866107)
(-43.769909755447294, -2.7577164466275015)
(-36.76955262170044, 2.8284271247461765)
(-21.566756826189735, 10.960155108391481)
(-43.62848839920996, -1.9091883092036412)
(-38.53731957466684, 1.0606601717798327)
(-21.84959953866435, 10.67731239591686)
(-43.62848839920998, -1.2020815280170742)
(-36.769552621700456, 3.5355339059327195)
(-22.13244225113896, 10.394469683442239)
(-43.55777772109133, -0.42426406871190203)
(-38.74945160902278, 1.5556349186103906)
(-22.415284963613598, 10.111626970967619)
(-43.48706704297267, 0.3535533905932909)
(-36.91097397793778, 4.101219330881981)
(-21.42533546995241, 11.808683245815331)
(-43.34564568673537, 1.2020815280171397)
(-38.96158364337876, 2.0506096654409887)
(-21.708178182427034, 11.525840533340707)
(-43.20422433049804, 2.0506096654409895)
(-37.123106012293725, 4.596194077712549)
(-21.991020894901652, 11.242997820866101)
(-42.9920922961421, 2.969848480983536)
(-39.10300499961607, 2.6162950903902176)
(-22.273863607376278, 10.960155108391477)
(-42.497117549311504, 4.171930009000659)
(-37.26452736853104, 5.161879502661787)
(-22.55670631985089, 10.677312395916855)
(-42.214274836836886, 5.161879502661832)
(-39.24442635585338, 3.1819805153394554)
(-22.8395490323255, 10.394469683442242)
(-41.79001076812494, 6.29325035256032)
(-37.3352380466497, 5.798275605729684)
(-23.12239174480014, 10.111626970967624)
(-41.36574669941302, 7.141778489984159)
(-39.38584771209069, 3.7476659402886963)
(-21.920310216782998, 12.020815280171306)
(-40.65863991822647, 8.13172798364533)
(-36.91097397793777, 6.929646455628167)
(-22.20315292925762, 11.737972567696682)
(-39.95153313703992, 8.838834764831867)
(-39.527269068327996, 4.313351365237934)
(-22.485995641732234, 11.455129855222058)
(-38.749451609022785, -10.46518036156088)
(-37.19381669041238, 7.353910524340077)
(-22.768838354206853, 11.172287142747448)
(-39.45655839020936, -9.758073580374338)
(-39.45655839020934, 5.091168824543136)
(-23.051681066681468, 10.889444430272823)
(-39.103004999616054, -10.111626970967604)
(-37.61808075912431, 7.636753236814699)
(-23.334523779156086, 10.606601717798204)
(-39.456558390209345, -9.758073580374315)
(-39.45655839020934, 5.798275605729677)
(-23.61736649163071, 10.323759005323584)
(-39.739401102683956, -9.333809511662407)
(-38.537319574666824, 7.424621202458744)
(-22.41528496361358, 12.23294731452727)
(-39.95153313703992, -8.838834764831814)
(-39.24442635585336, 6.717514421272195)
(-22.698127676088205, 11.950104602052638)
(-40.23437584951453, -8.414570696119888)
(-25.66797615707167, 2.61629509039023)
(-22.980970388562817, 11.667261889578029)
(-40.375797205751844, -7.848885271170666)
(-20.08183258569795, 8.202438661763955)
(-23.26381310103745, 11.3844191771034)
(-40.44650788387051, -7.2124891681027545)
(-26.02152954766494, 2.96984848098349)
(-23.546655813512068, 11.10157646462879)
(-40.51721856198918, -6.576093065034877)
(-20.506096654409877, 8.485281374238571)
(-23.829498525986676, 10.818733752154175)
(-40.517218561989175, -5.8689862838483196)
(-26.339727599198888, 3.3587572106360897)
(-24.112341238461287, 10.535891039679552)
(-40.4465078838705, -5.091168824543116)
(-20.930360723121797, 8.768124086713188)
(-24.395183950935913, 10.253048327204926)
(-40.16366517139589, -4.5254833995938855)
(-26.657925650732842, 3.7476659402887043)
(-24.678026663410535, 9.970205614730311)
(-39.77475644174329, -4.0658639918226305)
(-21.354624791833725, 9.050966799187808)
(-22.698127676088202, 12.65721138323919)
(-39.31513703397202, -3.6769552621700314)
(-21.849599538664314, 9.263098833543776)
(-22.980970388562834, 12.374368670764563)
(-36.199371113171615, -3.3903120174121626)
